Province,Latitude,Longitude,Type
Bangkok,13.7278956,100.5241234,Primary
Krabi,8.0862997,98.9062834,Primary
Kanchanaburi,14.0227797,99.5328114,Primary
Kalasin,16.4314078,103.5058755,Secondary
Kamphaeng Phet,16.4827798,99.5226617,Secondary
Khon Kaen,16.4419355,102.8359921,Primary
Chanthaburi,12.61134,102.1038545,Secondary
Chachoengsao,13.6904194,101.0779595,Primary
Chonburi,13.3611431,100.9846717,Primary
Chai Nat,15.1851971,100.125125,Secondary
Chaiyaphum,15.8068173,102.0315027,Secondary
Chumphon,10.4930496,99.1800198,Primary
Chiang Rai,19.9071656,99.8309550,Primary
Chiang Mai,18.7877477,98.9931319,Primary
Trang,7.5593851,99.6110065,Secondary
Nakorn Pathon,13.8199206,100.0621676,Primary
Nakorn Phanom,17.392039,104.7695507,Secondary